Trial 2| ARP = 0.8 ,1    ,2    ,3    ,4    ,5    ,6    ,7    ,8    ,9    ,10   ,11   ,12   ,13   ,14   ,15   ,16   ,17   ,18   ,19   ,20   ,21   ,22   ,23   ,24   ,25   ,26   ,27   ,28   ,29   ,30   ,31   ,32   ,33   ,34   ,35   ,36   ,37   ,38   ,39   ,40   ,41   ,42   ,43   ,44   ,45   ,46  ,47  ,48  ,Alts,Egos,Alt_Freq       ,Ego_freq
44                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,False,True ,False,False,True ,True ,True ,False,False,False,True ,False,False,False,False,True ,False,False,False,True ,False,False,False,False,     ,    ,    ,    ,23  ,21  ,0.522727272727 ,0.477272727273
40                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,False,True ,True ,True ,False,False,False,False,True ,False,False,False,False,False,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,    ,    ,    ,21  ,19  ,0.525          ,0.475
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,False,True ,True ,False,True ,False,False,False,False,False,False,False,False,False,True ,True ,True ,False,False,False,False,     ,     ,     ,     ,     ,     ,    ,    ,    ,22  ,17  ,0.564102564103 ,0.435897435897
40                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,False,True ,True ,True ,False,False,False,False,False,False,False,True ,True ,True ,False,False,True ,True ,False,False,False,False,     ,     ,     ,     ,     ,    ,    ,    ,24  ,16  ,0.6            ,0.4
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,True ,True ,True ,False,False,False,True ,True ,True ,False,False,True ,True ,False,False,False,True ,True ,False,False,True ,     ,     ,     ,     ,     ,     ,    ,    ,    ,27  ,12  ,0.692307692308 ,0.307692307692
35                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,False,False,True ,True ,True ,False,True ,False,True ,True ,True ,True ,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,27  ,8   ,0.771428571429 ,0.228571428571
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,False,False,True ,True ,True ,False,True ,False,True ,True ,True ,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,26  ,12  ,0.684210526316 ,0.315789473684
32                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,False,True ,False,True ,True ,True ,False,False,False,False,True ,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,24  ,8   ,0.75           ,0.25
29                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,False,False,True ,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,21  ,8   ,0.724137931034 ,0.275862068966
35                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,False,True ,False,False,False,True ,True ,True ,True ,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,25  ,10  ,0.714285714286 ,0.285714285714
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,False,True ,True ,True ,True ,True ,False,False,False,True ,False,True ,True ,True ,False,False,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,29  ,9   ,0.763157894737 ,0.236842105263
