Trial 2| ARP = 0.9 ,1    ,2    ,3    ,4    ,5    ,6    ,7    ,8    ,9    ,10   ,11   ,12   ,13   ,14   ,15   ,16   ,17   ,18   ,19   ,20   ,21   ,22   ,23   ,24   ,25   ,26   ,27   ,28   ,29   ,30   ,31   ,32   ,33   ,34   ,35   ,36   ,37   ,38   ,39   ,40   ,41   ,42   ,43  ,44  ,Alts,Egos,Alt_Freq       ,Ego_freq
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,False,False,True ,True ,False,     ,     ,     ,     ,    ,    ,33  ,5   ,0.868421052632 ,0.131578947368
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,False,False,True ,True ,True ,False,False,     ,     ,     ,     ,    ,    ,32  ,6   ,0.842105263158 ,0.157894736842
36                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,False,True ,True ,False,False,False,     ,     ,     ,     ,     ,     ,    ,    ,30  ,6   ,0.833333333333 ,0.166666666667
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,True ,True ,False,False,True ,True ,True ,False,False,     ,     ,     ,    ,    ,33  ,6   ,0.846153846154 ,0.153846153846
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,True ,True ,False,True ,True ,True ,False,False,False,     ,     ,     ,    ,    ,33  ,6   ,0.846153846154 ,0.153846153846
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,False,True ,True ,False,False,False,False,False,False,     ,     ,     ,     ,    ,    ,30  ,8   ,0.789473684211 ,0.210526315789
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,False,True ,False,False,     ,     ,     ,     ,     ,    ,    ,30  ,7   ,0.810810810811 ,0.189189189189
34                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,True ,True ,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,27  ,7   ,0.794117647059 ,0.205882352941
36                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,False,True ,True ,False,False,True ,False,     ,     ,     ,     ,     ,     ,    ,    ,30  ,6   ,0.833333333333 ,0.166666666667
32                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,False,True ,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,22  ,10  ,0.6875         ,0.3125
33                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,False,True ,False,False,False,True ,True ,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,24  ,9   ,0.727272727273 ,0.272727272727
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,False,True ,False,False,False,True ,True ,False,False,True ,False,True ,False,False,False,False,     ,     ,     ,     ,    ,    ,26  ,12  ,0.684210526316 ,0.315789473684
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,False,True ,False,False,False,True ,True ,False,False,True ,False,False,False,False,False,False,     ,     ,     ,     ,     ,    ,    ,24  ,13  ,0.648648648649 ,0.351351351351
35                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,True ,False,False,True ,True ,False,False,True ,False,False,False,False,False,False,True ,False,     ,     ,     ,     ,     ,     ,     ,    ,    ,22  ,13  ,0.628571428571 ,0.371428571429
35                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,False,True ,False,False,False,False,True ,True ,True ,True ,True ,False,False,False,     ,     ,     ,     ,     ,     ,     ,    ,    ,26  ,9   ,0.742857142857 ,0.257142857143
35                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,True ,True ,True ,True ,True ,False,False,False,False,True ,False,     ,     ,     ,     ,     ,     ,     ,    ,    ,27  ,8   ,0.771428571429 ,0.228571428571
